worker_id,gender,household_income,household_size,location_country,marital_status,year_of_birth,count,participation
dae27bd49185ba6d16de8bbd8db9a8ce,female,"$60,000-$74,999",2,GB,married,1985,1,2
17f18ee5f52290db34c5ceea8b2d882a,male,"$25,000-$39,999",1,US,single,1991,1,1
e9ed035fef5bebf1da1277fc17e6e6c2,female,"$60,000-$74,999",2,US,married,1987,1,2
9698b272b8faaa96966a8e5ecd18bad8,male,"$40,000-$59,999",1,US,single,1985,1,1
3205772b0589a064d11974dce1c7833f,male,"$75,000-$99,999",4,IN,married,1980,1,7
b4396987290cb6ff4081b1b1b0464c7d,male,"$75,000-$99,999",5+,US,married,1979,11,14
f126b901d3888feadae1a1663422da89,male,"$25,000-$39,999",4,US,married,1982,1,2
5481c07623f238654832e68321356086,male,"$10,000-$14,999",4,IN,single,1989,1,1
7681e4325850c09b03db57115594eaa6,male,"Less than $10,000",5+,IN,single,1998,1,1
432f38461acef5a63c26a6b44d9193f6,male,"Less than $10,000",1,NL,married,1990,1,1
10e5eb5bb03f5224698775876722668d,male,"$75,000-$99,999",5+,US,single,1994,1,1
fdad72237e34c00abccc9132220db2be,male,"Less than $10,000",1,US,single,1996,1,1
93e8927cbfc0d8ef1e03c95861089f17,female,"$60,000-$74,999",4,US,single,1995,1,2
545bbff6f3584e260f6239218178b437,male,"$15,000-$24,999",5+,IN,married,1989,1,3
df1ed84ea8fafb683ed65b9d3e3f78a1,male,"$40,000-$59,999",1,US,single,1994,1,1
a372430f51e11270c30984ae9567457e,female,"$25,000-$39,999",1,US,single,1987,1,1
4b2fb68fd2ce59f28c76758a8f775a97,female,"$25,000-$39,999",2,US,divorced,1972,1,2
20d3e475926954e2cd193216483b9223,female,"Less than $10,000",4,IN,married,1988,1,1
555477311cebbbee0497bd2c808e8267,female,"$40,000-$59,999",2,US,single,1989,2,2
40e2aa2a682fbd962652bee19db24f85,female,"$10,000-$14,999",1,US,single,1945,1,10
017dc456c7a100201fc1bff335f8cf53,female,"$15,000-$24,999",4,US,divorced,1992,1,1
94a0f9429183217d20f8532e6afa95ae,male,"$40,000-$59,999",3,US,single,1989,1,1
